id	lang	text
331528	ind	Hobiku bermain piano.
331529	ind	Hobiku mengoleksi koin.
331530	ind	Hobiku mengumpulkan kupu-kupu cantik.
331531	ind	Hobiku bermain gitar.
331532	ind	Hobiku menulis cerita.
331533	ind	Salah satu hobiku musik klasik.
331534	ind	Salah satu hobiku membuat bunga palsu.
331535	ind	Salah satu hobiku mengumpulkan perangko lama.
331554	ind	Kecepatan pesawat jauh lebih tinggi daripada helikopter.
331555	ind	Sudah pesan tempat di pesawat?
331556	ind	Sepertinya pesawat terlambat.
331557	ind	Pesawat itu sudah tak tampak.
331558	ind	Suara pesawat pun terdengar.
331560	ind	Berkat pesawat, orang dapat melakukan perjalanan jarak jauh dengan cepat.
331561	ind	Berkat pesawat, kita dapat mengelilingi dunia dalam 2, 3 hari.
331562	ind	Salah satu mesin pesawat mati.
331563	ind	Pak Sato telah naik pesawat dengan selamat.
331564	ind	Ini adalah kali ke-2 naik pesawat.
331565	ind	Saya tertinggal pesawat, bisa naik penerbangan berikutnya?
331566	ind	Agar tak tertinggal pesawat, saya bergegas ke bandara.
331567	ind	Saya tak ingin tertinggal pesawat.
331568	ind	Ini adalah pertama kali saya naik pesawat.
331569	ind	Sebanyak 150 penumpang naik pesawat.
331570	ind	Saya tak suka bepergian naik pesawat.
331571	ind	Pernah bepergian naik pesawat?
331572	ind	Dengan naik pesawat, ke London bisa hanya 1 hari.
331573	ind	Naik pesawat atau kereta?
331574	ind	Bepergian naik pesawat adalah paling cepat.
331575	ind	Kalau naik pesawat lebih mahal lho!
331576	ind	Bepergian naik pesawat berapa ongkosnya?
331577	ind	Bepergian ke Okinawa naik pesawat berapa lama?
336220	ind	aku hanyalah pengelana, yang mencari kemurnian jiwa
336222	ind	Karena hanya satu menit, berharga hampir 4 pound.
336223	ind	Saya menghadiri pesta hanya untuk bersosialisasi
336224	ind	Anda jujur mengakui kesalahan Anda
336225	ind	Orang Hindu menyembah di kuil.
336226	ind	Tak ada hubungan antara mereka
336227	ind	Lakukan, tapi sekarang !
337176	ind	Menyiapkannya sekaligus.
337177	ind	Mari kita selesaikan segera.
337178	ind	Lakukan sekaligus.
337179	ind	Kita butuh uang untuk melakukan apapun.
337180	ind	Biarkan rasa yang memilih.
337182	ind	Bersatu kita teguh. Bercerai kita runtuh
337184	ind	Bhinneka Tunggal Ika.
337185	ind	Siapa bersungguh sungguh, dia akan sukses
337187	ind	Berlomba - lomba dalam kebaikan.
337189	ind	Dirikanlah shalat.
337194	ind	Peringatan, dilarang cabul.
337196	ind	Perang datang dan pergi. Tapi prajuritku tetap abadi.
337198	ind	Matang lebih baik.
337200	ind	Iblis menggugat Tuhan.
337204	ind	Kiamat sudah dekat.
337206	ind	Beranak dalam pohon.
337341	ind	Tuhan adalah kejahatan
337344	ind	Tahu sebelum terjadi.
337348	ind	Melihat dengan telinga.
337350	ind	Baca musiknya, dengar fiksinya.
349437	ind	Saya tidak mengetahui cara penggunaan komputer ini.
365958	ind	Sangat penting baginya manakah dari keduanya yang lebih indah.
365960	ind	Tidak dapat dipungkiri keberaniannya patut dikagumi.
365961	ind	Nancy tersenyum bahagia.
365962	ind	Berapa harga dasi ini?
365963	ind	Opera apakah yang sedang dipertunjukkan di Lincoln Center saat ini?
365964	ind	Karena itulah dia tidak pergi belajar ke luar negeri.
365965	ind	Yang perlu Anda lakukan hanyalah menandatangani nama Anda di sini.
365966	ind	Rapat tersebut ditunda hingga Jumat depan.
365967	ind	Dia telah mencoba berbagai cara melangsingkan badan.
365968	ind	Dia memberitahuku bahwa dia akan mengunjungi Nara bulan depan.
365969	ind	Kurangi minum dan tidurlah lebih banyak.
365970	ind	Kami dulu saling bertetangga.
365971	ind	Pertanyaannya sesulit itu hingga tiada siapapun mampu menjawabnya.
365972	ind	Kita banyak membuang waktu.
365973	ind	Terus jalan lurus hingga tiba di gereja tersebut.
365974	ind	Tolong kirimkan surat ini pada kesempatan berikutnya ke kantor pos.
365975	ind	Kameraku tahan air.
365976	ind	Sudah berapa lama menunggu bus?
365977	ind	Saat ayahku pensiun nanti, dia sudah hampir 30 tahun bekerja.
365978	ind	Kereta tersebut terguling.
365979	ind	Biasanya saya bangun pada pukul enam.
365980	ind	Seperti biasa, Tom terlambat datang ke kelas.
365984	ind	Majalah apapun boleh.
365985	ind	Mari mulai dari Pelajaran 10.
365986	ind	Apa kabar?
365989	ind	Saya baik-baik saja, terima kasih.
365990	ind	"Terima kasih. ""Sama-sama."""
365991	ind	Terima kasih banyak!
365993	ind	Nama saya Jack.
365994	ind	Siapa nama Anda?
365995	ind	Selamat pagi, semuanya.
365997	ind	Selamat pagi, kata Tom sambil tersenyum.
365998	ind	Tolong sampaikan salamku kepadanya.
365999	ind	Dia meninggal dunia kemarin siang.
366000	ind	Kami berangkat besok siang.
366002	ind	Selamat tidur, Bu.
366005	ind	Kapan ulang tahunmu?
366006	ind	Besok dia berulang tahun.
366007	ind	Selamat ulang tahun, Muriel!
366009	ind	Aku suka lasagna.
366012	ind	Aku cinta kamu.
366013	ind	Jaga dirimu sendiri.
366014	ind	Saya tidak peduli.
366019	ind	Penemuan ini akan tercatat dalam sejarah.
366021	ind	Aku adalah seorang laki-laki tanpa wanita
366304	ind	Saya tidak dapat melihat akhir.
366306	ind	Saya tidak dapat mempercayai itu !
366307	ind	Saya mendengar anda, tapi saya tidak dapat melihat anda.
366312	ind	Saya senang ketika saya membaca.
366313	ind	Apakah Anda siap?
366314	ind	Aku berikan kamu kataku.
366316	ind	Kamu dapat beristirahat sampai malam.
366317	ind	Dunia akan tersenyum bahagia tanpa diriku.
366322	ind	Aku tidak dapat hidup tanpa sebuah TV.
366323	ind	Aku tidak dapat hidup tanpa kamu.
366324	ind	Aku tidak dapat membayangkan hidup tanpa kamu.
366325	ind	Aku tidak dapat melakukannya tanpa bantuan dia(perempuan).
366326	ind	Terbakar dengan cinta.
366327	ind	Saya tidak terlalu mengerti apa yang ia(laki-laki) katakan.
366330	ind	Cinta adalah misteri dan penderitaan tanpa batas waktu.
366333	ind	Aku akan memakan kamu anak kecil.
366339	ind	Memberi lebih baik daripada diberi.
366340	ind	Belajar untuk mencintai produk dalam negeri.
366341	ind	Sesuatu yang kecil dapat menyebabkan hal yang besar.
366342	ind	Cinta yang tulus adalah cinta yang tanpa paksaan.
366343	ind	Kemanakah kita pergi setelah kita mati ?
366344	ind	Perjodohan adalah suatu bentuk pelanggaran terhadap hak asasi manusia.
366347	ind	Ada gula, ada semut.
366394	ind	Buku tua ini bernilai 50.000 yen.
366395	ind	Pria ini benar-benar sangat tua.
366396	ind	Aku memanggil namamu.
366397	ind	Setahu aku, museum itu tutup setiap hari Senin.
366398	ind	Ranjang ini tampak kokoh.
366399	ind	Kucing yang hilang tersebut masih belum ditemukan.
366400	ind	Bosku dipaksa mengundurkan diri.
366407	ind	5 tambah 2, hasilnya 7.
366408	ind	Ibunya mengkhawatirkan anaknya.
366412	ind	Saya lebih memilih berpergian dengan mobil.
366417	ind	Sungguh terima kasih atas bantuannya.
366418	ind	Sikapnya padaku berbeda dari biasanya.
366420	ind	Kyoto terkenal dengan kuil dan viharanya.
366421	ind	Dapatkah Anda membantu saya mencarikan rumah dengan sebuah taman kecil?
366422	ind	Makin hari makin dingin.
366423	ind	Saya sama sekali tidak mengerti Bahasa Jerman.
366424	ind	Ada rekomendasi makanan yang enak?
366426	ind	Festival sekolah kami diadakan bulan lalu.
366428	ind	Permintaannya wajar.
366429	ind	Mohon tunggu giliran Anda.
366430	ind	Pria tersebut mengaku bahwa ia merampok wanita tua itu.
366431	ind	Besok dia di rumah.
366432	ind	Dia pasti berhasil.
366433	ind	Tolong tutup pintu di belakangmu.
366434	ind	Bersikap lebih baiklah terhadap anak sendiri!
366435	ind	Putraku telah masuk sekolah menengah.
366436	ind	Boleh tolong buka pintunya?
366497	ind	Dia bekerja di pabrik.
366500	ind	Kamu mengambil kunci yang salah.
366514	ind	Aku ingin mengganti ini ke ukuran yang lebih kecil.
367205	ind	Saya cinta kamu.
367218	ind	Saya mengecewakan karena dia (laki-laki) tidak hadir
367571	ind	Mobil tersebut rusak.
371734	ind	Saya suka semua film yang disutradarai Juzo Itami.
371735	ind	Yesus dilahirkan Maria.
373358	ind	Selamat pagi!
376034	ind	Pria yang istrinya telah meninggal dunia disebut seorang duda.
376035	ind	Tahukah kenapa langit terlihat berwarna biru?
394600	ind	Baju itu memikat hatinya untuk masuk ke dalam toko
394602	ind	Bis itu berhenti dan kami masuk
394603	ind	Air dalam tanki tinggal sedikit, mungkin juga habis
394604	ind	Mereka memutuskan untuk bermukim di Virginia tahun itu
394605	ind	Saya tidak menyangka ia bisa berbuat sekejam itu
394606	ind	Kau harus membayar harganya
394607	ind	Tahun 1990-an dimulai dengan peristiwa Teluk
394608	ind	Aku ingin buku itu, katanya pada dirinya sendiri.
394609	ind	Dalam waktu dekat ini kita akan mampu mengobati AIDS
394612	ind	Jika dia bertanya, saya akan berikan. Jika tidak, tidak.
397133	ind	Kami semua bahagia.
397134	ind	Semoga Tuhan memberkatimu.
397136	ind	Pemasukannya berkurang setengah setelah pensiun.
397138	ind	Saya tidak tahu apa arti kata ini.
397140	ind	Saya suka musik instrumental.
397141	ind	Rambut anak itu hitam.
397142	ind	Ayahnya makan di sana dua kali seminggu.
397146	ind	Dia membagi dua kuenya.
397148	ind	Saya membaca New York Times.
397151	ind	Sayang sekali hujan.
397153	ind	Sungai ini bermuara di Pasifik.
397154	ind	Ini sekolah kami.
397155	ind	Yang coklat punya saya juga.
397164	ind	Nancy takut anjing.
397170	ind	Kepala saya masih merasa pusing.
397173	ind	Apa kamu cukup tidur?
397175	ind	Saya baru selesai membaca buku itu.
397177	ind	Kemarin pagi sangat dingin.
397180	ind	Dia keluar dari ruangan tanpa mengatakan sepatah kata pun.
397181	ind	Bill membawakan saya buku ini.
397182	ind	Dia suka bermain tenis.
397185	ind	Buddhisme bermula dari India.
397186	ind	Saya mulai malam ini.
397187	ind	Bagaimana kabar ibumu?
397188	ind	Judy melihat saya.
397189	ind	Kalimat ini benar secara gramatik.
397191	ind	Mohon tunggu sebentar.
400939	ind	Bagaimana kabar Anda?
451819	ind	Tom bukan anak yang pemalas.
516325	ind	Tidak.
625963	ind	Jalur Tokaido berhenti di Tokyo
625964	ind	Dia kaya pengalaman.
625965	ind	Perkataannya telah membuat kesan yang dalam terhadap murid-murid.
638757	ind	Saya merasa agak tidak enak badan hari ini.
638759	ind	Kami ingin Anda datang ke pesta kami.
638762	ind	Dia tidak datang, katanya.
638763	ind	Pria itu tidak datang kata perempuan itu.
638766	ind	Dia memiliki keinginan yang kuat untuk bekerja sebagai seorang penerjemah.
638769	ind	Saya sedang ingin pergi berjalan-jalan.
638775	ind	Saya tidak mengerti.
638778	ind	Sepertinya dia yakin bahwa apa yang dia katakan adalah benar.
638780	ind	Dia mengumpulkan banyak perangko.
638783	ind	Tiba-tiba lampu padam.
638785	ind	Datang dan temui saya saat Anda memiliki waktu.
638789	ind	Kami berharap agar dia segera kembali.
638796	ind	Silahkan menghubungi saya kembali nanti.
638798	ind	Saya ingin tahu siapa yang akan datang bersama kita.
638801	ind	Semua orang dipersilahkan.
638802	ind	Columbus menemukan Amerika pada tahun 1492.
638803	ind	Dia menghindar untuk bertemu dengannya dalam perjalanan.
638805	ind	Apakah kamu mengenal mereka?
638808	ind	Gerbang ditutup pada pukul delapan.
638809	ind	Terima kasih untuk pertolongan Anda.
638811	ind	Istriku mempunyai kesalahan-kesalahan. Meskipun demikian, aku mencintainya.
638812	ind	Pengetahuan tentang komputer adalah dasar daripada segala ilmu pengetahuan.
638815	ind	Kita harus tetap tenang.
638821	ind	Dia membuat sebuah alasan.
646322	ind	Jikalau barang seorang tiada mau bekerja, jangan ia makan.
741127	ind	Siapa orang itu?
751273	ind	Sudah lama sejak saya mengunjungi nenek saya
751275	ind	Dia meminta maaf karena telah menyinggungnya.
751276	ind	Saya sudah mengenalnya sejak kecil
751279	ind	Saya yakin saya akan dapat menemukannya.
751281	ind	Saya tidak dapat membantumu.
751282	ind	Sepertinya koper saya telah dicuri.
751287	ind	Apa yang dia katakan di dalam suratnya?
751290	ind	Mereka tinggal di hotel selama seminggu.
751292	ind	Ibunya sedang menulis surat.
751319	ind	Saya tidak dapat menerima bahwa istri saya benar-benar sudah meninggal.
751321	ind	Saya akan bermain tenis.
751324	ind	Mike tidak ikut berlatih kemarin
751327	ind	Saya dapat menemukan rumahnya dengan mudah.
751330	ind	Dapatkah kamu meletakannya di meja?
751341	ind	Bagaimanapun, saya tidak punya uang.
751345	ind	Intinya adalah ibu terlalu sibuk.
751346	ind	Dia punya masa depan yang cerah.
751352	ind	Apa yang sedang dilakukan Ken?
751353	ind	Kami mengenalnya.
751357	ind	Kucingku tersayang sudah seminggu hilang.
751359	ind	Angka tujuh terkadang dianggap sebagai angka keberuntungan.
751362	ind	Perusahan Jepang umumnya menyediakan seragam untuk para karyawannya.
751364	ind	Kamu tidak harus pergi kecuali kalau kamu memang mau.
751368	ind	Saya sering jatuh, tapi saya tidak pernah menyerah.
751370	ind	Tidak memerlukan waktu lama.
751372	ind	Kurang tidur tidak baik bagi kesehatan anda.
751374	ind	Kamu tidak melihat apapun.
751375	ind	Saya merasa sedih tanpa alasan.
751376	ind	Hewan dan tumbuhan hidup di planet ini.
751377	ind	Sudah sepuluh tahun sejak saya meninggalkan kuliah.
751378	ind	Dia naik taksi ke museum.
751379	ind	Ayo makan siang!
751380	ind	Saya makan hot dog untuk makan siang.
751381	ind	Dia dapat berenang dengan cepat.
751382	ind	Kota Kibune terletak dekat Kyoto.
751384	ind	Kamu dapat menghubunginya dengan menelpon nomor ini.
751389	ind	Dia menyembunyikan kesedihannya dibalik senyum.
751392	ind	Saya akan menelponmu besok pagi.
751397	ind	Saya sedang makan sebuah apel.
751401	ind	Sepatumu ada di sini.
751402	ind	Tidak ada bukti.
751409	ind	Dia masih bergantung secara finansial kepada orang tuanya.
751415	ind	Dia ditemukan terbaring tidak sadar di lantai dapur.
751417	ind	Ini di luar pertanyaan?
751420	ind	Ngomong-ngomong,berapa umurmu?
751423	ind	Yang satu merah dan yang lainnya putih.
751424	ind	Dia pasti sudah berkata bohong.
751429	ind	Dia menyeberang jalan.
751431	ind	Aku akan mendapat SIM akhir tahun ini.
751435	ind	Kamu terlihat berbeda hari ini.
751438	ind	Aku mengatakan ini dari hati.
751440	ind	Kejujuran bukan jaminan sukses.
751445	ind	Makanan dan pelayanannya baik sekali.
751448	ind	Ledakan populasi adalah masalah yang serius.
751450	ind	Apakah kita diperbolehkan menggunakan lift?
751452	ind	Dia sepertinya dalam masalah.
751461	ind	Apa pekerjaannya?
751465	ind	Saya pikir itu ide yang bagus.
751468	ind	Saya harap saya dapat bertemu anda lagi, segera.
751470	ind	Hari ini sangat panas.
751472	ind	Dia meninggalkan rumah pukul 8:00.
751474	ind	Saya akan menunggu di sini sampai dia datang.
751476	ind	Dia sedang mendengarkan radio dengan earphone.
751478	ind	Dia sangat mirip dengan ayahnya.
751482	ind	Dia terpeleset saat sedang menyeberang jalan.
751484	ind	Aku menunjukkan kamarku padanya.
751490	ind	Foto ini mengingatkanku pada masa kecilku
751493	ind	Hujan deras selama sekitar setengah jam.
751496	ind	Penyair sering membandingkan kematian dengan tidur.
751497	ind	Dia tinggal di hutan seorang diri.
751500	ind	Pasangan itu telah berpisah, tidak pernah bertemu lagi.
751504	ind	Saya lelah mendengarkan cerita Ayah.
751506	ind	Kalau memungkinkan, saya akan kembali besok.
751507	ind	Dia sangat pintar.
751511	ind	Aku tidak tahu artinya kebencian.
751515	ind	Ini adalah semacam hewan yang tinggal di laut.
751524	ind	Seberapa tinggi kamu?
751527	ind	Kupu-kupu ini langka di negara kami.
751533	ind	Jadi kamu menyerah, benar?
751534	ind	Jangan khawatir
751536	ind	Buah segar baik untuk kesehatan.
751549	ind	Saya punya anjing yang dapat berlari dengan cepat.
751551	ind	Semua siswa di kelasku sangat bersahabat.
751553	ind	Tom tidak pernah datang tepat waktu.
751555	ind	Keberatan anda telah dicatat.
751559	ind	Saya lapar karena saya tidak sarapan.
751562	ind	Apakah kamu pernah ke Jepang?
751569	ind	Mary menolak undangan ke konser.
751574	ind	Mata uang Eropa melemah terhadap dolar.
751576	ind	Pesawat ini sangat jelek.
751581	ind	Bagaimana cuaca hari ini?
751584	ind	Saya melakukannya setiap Minggu pagi.
751585	ind	Halo, apa kabar?
751601	ind	Kamu sudah dari dulu ingin kesana bukan?
751615	ind	Pertumbuhan bayi ini normal untuk seumurannya.
751627	ind	Dia menulis surat untuk ibunya.
751635	ind	Laki-laki itu mengangkat tangan untuk bertanya
751641	ind	Dia membuat penemuan ilmiah penting.
751643	ind	Dia meninggalkan Paris akhir bulan yang lalu.
751644	ind	Dengan kata lain, dia malas.
751645	ind	Dia mulai merasa sakit.
751646	ind	Ayah saya meninggal dua tahun yang lalu.
751647	ind	Program pajak Presiden Reagan tidak berfungsi.
751648	ind	Dapatkah saya melihat paspor anda?
751649	ind	Penglihatannya sangat buruk.
751650	ind	Mati?
773598	ind	Apa kamu mau ikut?
773602	ind	Bintang yang bersinar di atas sana adalah Jupiter
773603	ind	Burung memiliki mata yang tajam.
773605	ind	Pemain yang paling tidak berbakat akan dikeluarkan dari tim.
773606	ind	Apa yang membuat dia tetap datang ke pesta itu?
773607	ind	Bisakah kita bicara secara pribadi?
773608	ind	Kenapa tidak dicoba?
774778	ind	Mereka mengatakan bahwa dia adalah musisi ketika masih muda.
774779	ind	Kamu ingin pergi?
774783	ind	Semalam suhu di bawah 0 derajat.
774784	ind	Dia disukai teman-temannya.
774787	ind	Kamu mau pergi?
774847	ind	Dia ngotot mengatakan bahwa analisanya tepat.
774978	ind	Saya akan memberi hadiah sepeda di hari ulang tahunmu.
774980	ind	Kantornya dekat dengan kantor saya.
774982	ind	Apakah kamu tahu siapa duta besar Inggris untuk Jepang?
774983	ind	Bill sudah berhenti merokok.
776016	ind	Semua bayangan kebahagiaannya hilang begitu saja dalam waktu singkat.
776017	ind	Ketika dia kembali ke kamarnya, cincin berliannya telah hilang.
776018	ind	Api telah padam dan ruangan itu menjadi dingin.
776019	ind	Lihat! Buku itu terbakar.
776020	ind	Dia lari menyelamatkan diri.
776022	ind	Seperti ayah, seperti anak.
776081	ind	Bir lokal apa yang paling enak?
776083	ind	Berikutnya akan ditayangkan berita lokal.
776122	ind	Berat bersih dari selai ini adalah 200 gram.
777174	ind	Dia segera menikah setelah lulus kuliah.
777218	ind	Saya sudah lulus sekolah.
777219	ind	Akhirnya saya lulus SMP.
777220	ind	Helen lulus SMA tahun lalu.
777221	ind	Apa dia lulus di ujian itu?
777222	ind	Saya harus pergi ke sana demi ayah saya.
777224	ind	Uang itu mungkin akan dibagi dua dengan rata.
